Technology,Model,Type,Manufacturer,Origin,Year of first appearance,Sensor Type,Sensor Technology,Channels,Positioning,Wireless Connectivity,Sampling Rate,ADC resolution,Raw data access,Bundled Software,Data Synchronization,Auxiliary capabilities,Price (USD),Studies Found,Inclusion (%)
EEG,WR19,Headset,Zeto,USA,2018,Dry,"Active, AgCl-coated plastic, Spring loaded plunger",19,"Fp1, Fp2, F7, F3, Fz, F4, F8, T7, T8, P7, P8, C3, Cz, C4, P3, Pz, P4, O1, O2",Wi-Fi,500 Hz,24-bit,Available,Web-based included,"LSL, API","Accelerometer, ECG, 1-bit Digital trigger In, Wireless photic sensor, Aux In (IMU)",---,2,"0,05%"
EEG,Guardian,In-Ear,Idun,SWE,2023,Dry,Dryode,1,"Right ear electrode, left ear reference, ground on left earhook",BLE 5.0,250 Hz,24-bit,Available,Web-based app,"LSL, SDK, API","IMU, Detects jaw clench and eye movement",">1,300",2,"0,05%"
EEG,Aura 02,Cap,Mirai,JPN,2022,---," Ag-AgCl,  coated or sintered",8,---,Bluetooth ,250 Hz,24-bit,---,Included,SDK,IMU,">3,800",1,"0,03%"
fNIRS,Mendi,Headband,"Mendi 
Innovations",SWE,2020,Optodes,Optode array,2,Prefrontal (Brodmann area 10),Bluetooth,---,---,---,Free App,---,IMU,>255,1,"0,03%"
EEG,"NeoRec
Professional | Base | Mini",Cap,MSC Medical Computer Systems,RUS,2022,"Dry
Wet (gel)",Ag/AgCl sintered,7 | 21,"FP1, FP2, O1, O2, F3, F4, C3, C4, P3, P4, F7, F8, T7, T8, P7, P8, FZ, CZ, PZ, A1, A2, GND",BLE 5.2,"125 | 250 | 500 Hz
| 1 kHz",24-bit,Available,Included,"API, LSL",Accelerometer ,---,1,"0,03%"
EEG,BrainBit Headband,Headband,BrainBit,USA,2015,Dry,"Gold-plated, spring-loaded",4,"O1, O2, T3, T4, FpZ (Ref)",BLE,250 Hz,---,Available,Sold separately,SDK,"EMG, EOG",>500,1,"0,03%"
EEG,FocusCalm,Headband,BrainCo,USA,2021,Dry,Dry hydrogel coating,1,"AF7, AF8 e FPz",Bluetooth 5.0,250 Hz,24-bit,---,"Mobile app
included",---,IMU,>280,1,"0,03%"
VR + EEG,Galea,Headset,"Varjo & 
OpenBCI",FIN | USA,2020,Dry,Soft-polymer active ,10,"F1, F2, C3, Cz, C4, P3, Pz, 
P4, O1, O2",Wi-Fi,500 Hz,24-bit,Available,Free,"SDK, LSL, UDP, OSC","IMU, 4 EMG, 2 EOG,  Forehead EDA, PPG, Eye tracking , Pupilometry",">25,000",1,"0,03%"
EEG,Diadem,Headset,Bitbrain,ESP,2023,Dry,Active shielding and optimized DRL,12,"Fp1, Fp2, AF7, AF8, F3, F4, P3, P4, PO7, PO8, O1, O2, A1 (Ref), Fpz (Gnd)",Bluetooth 2.1 EDR,256 Hz,24-bit,Available,Included,"LSL, SDK","IMU, 1-bit Digital In, Optical trigger In",---,1,"0,03%"
EEG,Hero,Headset,Bitbrain,ESP,2021,Dry,Active shielding and optimized DRL,9,"FC3, FCz, FC4, C3, Cz, C4, CP3, 
CPz, CP4, A2 (Ref), A1 (Gnd)",Bluetooth 2.1 EDR,256 Hz,24-bit,Available,Included,"LSL, SDK","IMU, 1-bit Digital In, Optical trigger In",---,1,"0,03%"
EEG,Crown,Headset,Neurosity,USA,2021,Dry,Passive + Active Ag/AgCl,8," CP3, C3, F5, PO3, PO4, F6, C4, CP4","Bluetooth 4.2, BLE, Wi-Fi",256 Hz,24-bit,Available,Lifetime app subscription,"LSL, SDK","Accelerometer, 2x Haptic motors, NFC",">1,500",1,"0,03%"
fNIRS + EEG,Photon C20 + LiveAmp,Cap,CortiVision & Brain Products,POL | DEU,2022,"Optodes + 
Wet (gel)","CW-NIRS, Dual-wavelength LEDs 
+ Active gel-based",8 | 16 | 32 | 64,10-5 System,Wi-Fi,86 Hz,16-bit,Available,Included,LSL,"IMU, VR integration, Hyperscanning ",---,1,"0,03%"
EEG,Neuronaute+,Adhesive ,BioSerenity ,FRA,2023,Wet (gel | saline),"Flat, thin, flex, disposeable Ag/AgCl",9 | 11 | 19,10-20 System,Wi-Fi,250 | 500 Hz,24-bit,Available,"Mobile app
included",---,"Ambulatory use, CE and FDA cleared",---,0,
EEG,Patch EEG,Adhesive ,CGX Cognionics,USA,2023,Wet (gel),Disposable HydroFlex,2,"FP1, FP2, AFz (Gnd)",Bluetooth,300 Hz,24-bit,Available,Included,"LSL, API, SDK","ExG, GSR, HR/HRV, SpO₂, Temp, Resp",>750,0,
EEG,Mr.ESP 2,Cap,BlueBCI,CHN,2023,---,---,8,"POz, PO3, PO4, PO5, PO6, Oz, O1, O2",---,---,---,---,---,"API, LSL",---,---,0,
fNIRS,NirsCute,Cap,Danyang Huichuang,CHN,-,Optodes,Light source LED/laser ≥15 mW,14,---,Wi-Fi,---,---,Available,Included,---,"Supports connections with EEG, tDCS, TMS, fMRI and VR",---,0,
EEG,Apex,Cap,TMSi Artinis,NLD,2022,Wet (gel | water),Ag/AgCl,24 | 32,10-10 System,Wi-Fi,800-1024 Hz,24-bit,Available,Free,LSL,4-bit Trigger In,---,0,
fNIRS,"Photon C20
Light | Full",Cap,CortiVision,POL,2021,Optodes,"4x2, 16x10",37,10-5 System,Wi-Fi,86 Hz,16-bit,Available,Included,LSL,"IMU, EEG, Eye-Tracking, Virtual Reality",---,0,
fNIRS,Spectrum C23,Cap,CortiVision,POL,2023,Optodes,"Detachable, scalable setups
(8×12, 16×24, 24×36, 32×48)",150,10-5 System,Wi-Fi,250 Hz,16-bit,Available,Included,LSL,"IMU, EEG, Virtual Reality, Hyperscanning ",---,0,
fNIRS + EEG,Photon C20 + Versatile Bio,Cap,"CortiVision 
& BitBrain",POL | ESP,-,Optodes + Semi-Dry,"CW-NIRS, Dual-wavelength LEDs, Short-distance channels",8 | 16 | 32,10-5 System,"Wi-Fi
Bluetooth",86 | 256 Hz,24 | 32-bit,Available,Included,"LSL, API","Analog In (ExG, GSR, Resp, Temp, BVP), Digital In (IMU), Digital trigger In/Out (photodiode, pedal, air flow, snore sensor)",---,0,
EEG,Callibri,Cap,BrainBit,USA,2024,Dry,Gold-plated with magnet (any scalp location),1,Flexible placement,BLE 4.0,"125 | 250 | 500 Hz
| 1 | 2 kHz",---,Available,Sold separately,SDK,"IMU, EMG, ECG/HRV, GSR, Resp, Electromyostimulation",>400,0,
EEG,DragonEEG,Cap,BrainBit,USA,2023,"Dry
Wet (gel)","Dry gold-plated spring-loaded
Wet Ag/AgCl",21,"Fp1, Fpz, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, Oz, O2",BLE,250 Hz,---,Available,Included,SDK,"EMG, ECG, EOG, Hardware In (wireless photo stimulator)",">3,800",0,
EEG,DSI-Flex,Cap,Wearable Sensing,USA,2023,Dry,"Every sensor can be customized as either ExG, GSR, Temp, and Resp",7,"Adjustable 
frontal/central regions",Bluetooth,300 | 600Hz ,16-bit,Available,Included,"LSL, TCP/IP, API","Accelerometer, ExG, GSR, Resp, Temp, Eye-tracking, optional Wireless Trigger Hub (I/O, switch, audio)",---,0,
EEG,Flex | Flex Wet | Flex8,Cap,BrainBit,USA,2022,"Dry
Wet (gel)","Dry gold-plated spring
Ag/AgCl wet",4 | 8,10-20 System,BLE,250 Hz,---,Available,Sold separately,SDK,---,>750,0,
EEG,MN8,Earphones ,Emotiv,USA,2018,Dry,"Non-toxic, non-allergenic conductive elastomer",2,In-ears with ear hooks and interchangeable brush sensors,"Bluetooth, BLE 4.2",128 Hz,14-bit,Requires PRO license for use,Included,SDK,"IMU, Speakers, Mic",>400,0,
EEG + fNIRS,Muse S Athena,Headband,InteraXon,CAN,2020,Dry,Silver thread fabric,"4 EEG
+ 5 fNIRS","TP9, AF7, AF8, TP10, FPz (Ref)",BLE 5.3,256 Hz,14-bit,Premium license required,Free App,Premium license required,"PPG, IMU, 4 Amplified aux channels",>475,0,
EEG,Sens.ai,Headband,Sens.ai,CAN,2023,Dry,Hi-Fi sensors,3,Central/midline,Bluetooth,---,---,---,Free App,---,"Pulse oximeter, 7x NIR stimulation, audiovisual cues, tPBM, HRV/coherence biofeedback, brain test (GeniusPulse)",">1,500",0,
EEG,Flowtime,Headband,Enter Technology ,CHN,2020,Dry,Ag/AgCl,2,"Fp1, Fp2", Bluetooth 4.0,250 Hz,24-bit,Available,Free,"SDK, API","IMU, HRV (PPG), Real-time audio cues based on physiological state",>210,0,
EEG,Mr.ESP 1,Headband,BlueBCI,CHN,-,---,---,---,---,---,---,---,---,---,"API, LSL",---,>97,0,
EEG,SereniBrain,Headband,iHNNK,CHN,2024,Semi-dry (gel),---,---,---,---,---,---,---,"Mobile app
included",---,---,>250,0,
EEG,Ikon,Headband,Bitbrain,ESP,2024,Dry,"Textile-based, Active shielding 
and optimized DRL",5,"Fp1, Fp2, AF7, AF8, Fpz, A1, A2",BLE 4.2,256 Hz,24-bit,Available,Included,"LSL, SDK","IMU, Real-time impedance check",---,0,
EEG,Bright 2,Headband,MindRove,HUN,2021,Semi-dry,"Active, conductive fabric 
with platinum threads",4 + 2,"O1, O2, Fp1, Fp2",Wi-Fi,500 Hz,24-bit,Available,Included,"SDK, LSL",IMU,>679,0,
EEG,Aigo,Headband,Oraigo,ITA,2023,Dry,Ag/AgCl,4,"Fp1, Fp2, T5/P7, T6/P8, AF7, AF6",BLE,300 Hz,16-bit,---,Free App,---,Accelerometer,---,0,
EEG,BrainAccess HALO,Headband,Neurotechnology,LTU,2023,Dry,"Gold-plated, feature 
spring-loaded spikes",4,"Fp1, Fp2, O1, O2",BLE 4.2,250 Hz,24-bit,Available,"PC and mobile app
included","LSL, SDK, API","Accelerometer, Hyperscanning ",>450,0,
EEG,SenzeBand 2,Headband,Neeuro ,SGP,2021,Dry,Real-time sensors contact check,4,"Fp1, Fp2, T3, T4, Fpz",Bluetooth 5.0,250 Hz,24-bit,Available,Monthly license fee,SDK,"PPG, IMU, LED Activity Indicator represents mental states",>600,0,
EEG,FRENZ,Headband,Earable,USA,2023,Dry,Electroless nickel immersion gold,6,Prefrontal ,Bluetooth 5.2,125 Hz,24-bit,Available,Free App,SDK,"IMU, PPG, EMG, EOG, SpO₂, Bone-conducting 
speakers, Mic",>680,0,
EEG,"BrainBit Headphones
Lite | PRO",Headphones,BrainBit,USA,2016,Dry,"Gold-plated, spring-loaded",4,"A1, A2, С3, С4, Cz (Ref)",Bluetooth 4.2,250 Hz,---,Available,Sold separately,SDK,"Mic, Speakers",>900,0,
EEG,MW75 Neuro,Headphones,Neurable,USA,2024,Dry,Silver-threaded soft ear pads,12,Around the ear,Bluetooth 5.2,500 Hz,---,Available,Included,LSL,"IMU, Speakers",">2,200",0,
EEG,Versus,Headphones,SenseLabs,USA,2017,Dry,---,5,"Fz, Cz, C3, C4, Pz, Gnd",BLE,---,---,---,"Mobile app
included",---,Speakers,">1,400",0,
EEG,Mindtooth,Headset,Brain Products,DEU,2023,Semi-dry (saline),"Passive, sponge-based",7,"F3, F4, C3, Cz, C4, P3, P4",BLE 5.0,125 | 250 | 500 Hz,16 | 24-bit,Available,"PC and mobile app
included",LSL ,---,">8,500",0,
EEG,X.on,Headset,Brain Products,DEU,2022,Semi-dry (saline),"Passive, sponge-based",7,"F3, F4, C3, Cz, C4, P3, P4",BLE 5.0,125 | 250 | 500 Hz,16 | 24-bit,Available,"PC and mobile app
included",LSL ,"Accelerometer, ExG",">2,500",0,
EEG,Air,Headset,Bitbrain,ESP,2023,Dry,Active shielding and optimized DRL,8,"Fp1, Fp2, AF7, AF8, PO7, PO8, O1, O2, A1, Fpz",Bluetooth 2.1 EDR,256 Hz,24-bit,Available,Included,"LSL, SDK","IMU, 1-bit Digital In for event sync, Optical Trigger In",---,0,
EEG,arc 2,Headset,MindRove,HUN,2020,Semi-Dry,"Active, conductive fabric 
with platinum threads",6,"C5, C3, C1, C2, C4, C6",Wi-Fi,500 Hz,24-bit,Available,Included,"SDK, LSL",IMU,>780,0,
EEG,"Brain Sensei
1.5 | 2.0",Headset,brain.space,ISR,2022,Dry,"Brush type, LED sensor status",20 | 115,10-20 System,---,---,---,---,"Dashboard, cloud",LSL,"Optional integration ECG, eye-tracker, GSR. Lightweight or Pneumatic system adapts electrodes to head shape using air cushions",---,0,
EEG,iSyncWave | iSyncMe,Headset,iMediSync,KOR,2021,Dry ,"Ag/AgCl-coated 
conductive polymer",19,"Fp1, Fp2, F3, F4, F7, F8, Fz, C3, C4, Cz, T3, T4, T5, T6, P3, P4, Pz, O1, O2, A1, Fpz",Bluetooth 5.0,250 Hz,24-bit,---,Included,---,"HRV (PPG), 19x NIR LED (Light therapy: Photobiomodulation, PBM)",">10,000",0,
VR + EEG,Lucy,Headset,Looxid Labs,KOR,2021,Dry,FPCB Gold-plated,6," AF3, AF4, AF7, AF8, Fp1, Fp2",Wi-Fi,500 Hz,24-bit,---,Included,"API, SDK",Eye tracking,---,0,
EEG,Altaire,Headset,ArtiseBio Biomedical,TWN,2023,Dry,---,8,"Fp1 , Fp2 , Fz , T7 , T8 , Pz , O1, O2",RF,1 kHz,24-bit,---,Included,LSL,"Accelerometer, Specialized for ERP experiment",---,0,
AR + EEG,"Axon-R
Standard | Advanced | Elite",Headset,Cognixion,USA,2025,Dry,Active,6,"O1, O2, Oz, PO3, PO4, POz","Bluetooth, Wi-Fi",2 kHz,24-bit,"Raw, filtered, and classified data available",Included,"LSL, SDK, API","8 ExG, EEG (SSVEP)-based intent detection via visual attention in AR, IMU, AR Interface",">25,000",0,
EEG + VR,"DSI
VR300 | VRVEP",Headset,Wearable Sensing,USA,2019,Dry,"Faraday cage's, Spring-loaded",7,"FCz, Pz, P3, P4, PO7, PO8, Oz
FCz, POz, PO3, PO4, O1, O2, Oz",Bluetooth,300 | 600Hz ,16-bit,Available,Included,"TCP/IP, API, LSL","IMU, VR, Stimuli (P300, alertness, emotions, phobias, sensory. Processing (SSVEP)",---,0,
EEG + fNIRS,DSI-EEG+fNIRS,Headset,Wearable Sensing,USA,-,Dry + Optodes,"4 emitters, 4 detectors, center EEG","  10 EEG
+ 8 fNIRS","Fp1, Fp2, C3, C4, T3, T4, O1, O2, A1, A2","Bluetooth, TCP/IP",300/600 Hz,16-bit,Raw and filtered data available,Included,"LSL, API","8 Trigger I/O, 4 Analog In, 2 Switch In, 1 Audio In, EMG, EOG, PPG",---,0,
EEG,ONE,Headset,Zeto,USA,2024,Dry,"Active, soft-tip",21,"Fp1, Fp2, F7, F3, Fz, F4, F8, T7, T8, C3, Cz, C4, P7, P3, Pz, P4, P8, O1, O2, A1, A2",Wi-Fi,500 Hz,24-bit,Available,Web-based included,"LSL, API","IMU, Photic stimulus sync sensor, 8x ExG (optional), 
1-bit Digital trigger In",---,0,